priority,buyer_name,buyer_type,region_or_county,procurement_url,vendor_registration_url,why_watch,likely_training_fit,search_terms,status,notes
1,State of Texas - Comptroller Statewide Procurement Division,State procurement,Statewide,https://comptroller.texas.gov/purchasing/,https://comptroller.texas.gov/purchasing/vendor/,Central procurement hub and vendor registration path,State buyer visibility and CMBL notifications,leadership training; management training; professional development,Not started,Register and configure CMBL/HUB if applicable
1,Texas Health and Human Services Commission,State agency,Statewide,https://www.hhs.texas.gov/business/contracting-hhs,https://comptroller.texas.gov/purchasing/vendor/,Large workforce and recurring training/consulting needs,Supervisor training; workforce development; change management,leadership; supervisor; workforce; organizational development,Not started,Monitor ESBD agency postings
1,Texas Department of Criminal Justice,State agency,Statewide,https://www.tdcj.texas.gov/divisions/bfd/index.html,https://comptroller.texas.gov/purchasing/vendor/,Large public safety/corrections workforce,Corrections leadership; supervisor training; conflict resolution,leadership; corrections; supervisor; conflict resolution,Not started,Public safety leadership could be strong fit
1,Texas Department of Transportation,State agency,Statewide,https://www.txdot.gov/business.html,https://comptroller.texas.gov/purchasing/vendor/,Large distributed workforce and leadership needs,Management training; change management; strategic planning,leadership; management training; change management,Not started,Monitor TxDOT procurement and ESBD
1,Texas Workforce Commission,State agency,Statewide,https://www.twc.texas.gov/agency/procurement-contracting,https://comptroller.texas.gov/purchasing/vendor/,Workforce and training mission alignment,Workforce development; leadership training; program training,workforce development; training; leadership,Not started,Potential direct mission fit
1,City of Austin,City,Travis,https://www.austintexas.gov/financeonline/vendor_connection/,https://financeonline.austintexas.gov/afo/account_services/solicitation/solicitation_search.cfm,Large city government with professional-services procurement,Leadership development; strategic planning; DEI; public safety leadership,leadership; organizational development; training; strategic planning,Not started,High-priority local account
1,Travis County,County,Travis,https://www.traviscountytx.gov/purchasing,https://www.traviscountytx.gov/purchasing/vendor-registration,Large county government and Austin-region growth,Supervisor training; management development; HR consulting,leadership; professional development; supervisor training,Not started,Pair with Austin account tracking
1,City of Dallas,City,Dallas,https://dallascityhall.com/departments/procurementservices/Pages/default.aspx,https://dallascityhall.com/departments/procurementservices/Pages/Vendor-Registration.aspx,Large city with broad departmental needs,Leadership; change management; workforce training,leadership; management training; organizational development,Not started,High volume but likely competitive
1,Dallas County,County,Dallas,https://www.dallascounty.org/departments/purchasing/,https://www.dallascounty.org/departments/purchasing/vendor-registration.php,Large county buyer,Supervisor training; public safety leadership; HR training,leadership; supervisor; conflict resolution,Not started,Watch for county HR/public safety postings
1,City of Fort Worth,City,Tarrant,https://www.fortworthtexas.gov/departments/finance/purchasing,https://www.fortworthtexas.gov/departments/finance/purchasing/vendor-services,Large and growing city,Leadership; management; public safety supervisor training,leadership; supervisor training; professional development,Not started,Good growth-pressure target
1,Tarrant County,County,Tarrant,https://www.tarrantcountytx.gov/en/purchasing.html,https://www.tarrantcountytx.gov/en/purchasing/current-bid-opportunities.html,Large county buyer,Public safety; supervisor; management training,leadership; management training; public safety,Not started,Pair with Fort Worth
1,City of San Antonio,City,Bexar,https://www.sa.gov/Directory/Departments/Finance/About/Divisions/Procurement,https://www.sa.gov/Directory/Departments/Finance/About/Divisions/Procurement/Become-a-Vendor,Large city with major workforce,Leadership; management; training programs,leadership; training; organizational development,Not started,High-priority local account
