level,state,source_name,source_type,url,registration_required,alert_available,notes,status
Federal,US,SAM.gov Contract Opportunities,Opportunity portal,https://sam.gov/content/opportunities,No for search; yes for saved searches/account features,Yes,Use saved searches for NAICS 611430/541611/541612/541618 and PSC U008. Use APIs/official alerts rather than scraping.,Not started
Federal,US,SAM.gov Get Opportunities API,API,https://open.gsa.gov/api/get-opportunities-public-api/,API key may be required depending on endpoint/use,No direct email,Useful later if manual alert volume proves automation is worth it.,Backlog
Federal,US,GSA eBuy,Schedule/RFQ portal,https://www.ebuy.gsa.gov/,Yes,Yes if schedule holder,Relevant only if friend gets onto a GSA Schedule or partners with a schedule holder.,Backlog
Federal,US,GSA Multiple Award Schedule,Vendor program,https://www.gsa.gov/buy-through-us/purchasing-programs/multiple-award-schedule,Yes,N/A,Longer-term channel for recurring training/consulting sales.,Backlog
State,TX,Texas Electronic State Business Daily,Opportunity portal,https://www.txsmartbuy.gov/esbd,No for search; yes for vendor features,Manual/saved search depending account setup,Primary Texas state opportunity search.,Not started
State,TX,Texas Statewide Procurement Division,Procurement info,https://comptroller.texas.gov/purchasing/,Yes for vendor setup,N/A,Start here for Texas vendor registration and procurement guidance.,Not started
State,TX,Texas Centralized Master Bidders List,HUB/CMBL vendor list,https://comptroller.texas.gov/purchasing/vendor/cmbl/,Yes,Yes,Important for Texas state buyer visibility and bid notifications.,Not started
State,TX,Texas HUB Program,Supplier diversity,https://comptroller.texas.gov/purchasing/vendor/hub/,If eligible,N/A,Check whether friend qualifies through business ownership/status.,Backlog
State,TX,Texas DIR Schedule of Solicitation Opportunities,Opportunity schedule,https://dir.texas.gov/it-solutions-and-services/selling-through-dir/schedule-of-solicitation-opportunities,No for browsing; ESBD/vendor setup for response,No,Public DIR schedule for planned pre-solicitation and active technology-related statewide procurements.,Not started
State,FL,MyFloridaMarketPlace Vendor Information Portal,Vendor portal,https://vendor.myfloridamarketplace.com/,Yes,Yes,Primary Florida state vendor setup and notifications.,Not started
State,FL,Florida State Purchasing / MFMP,Procurement info,https://www.dms.myflorida.com/business_operations/state_purchasing/myfloridamarketplace,Yes,Yes,State procurement overview and MFMP guidance.,Not started
State,TN,Tennessee Central Procurement Office Supplier Info,Procurement info,https://www.tn.gov/generalservices/procurement/central-procurement-office--cpo-/supplier-information.html,Yes for award/notifications,Yes,Register through Edison; choose relevant UNSPSC/category codes.,Not started
State,TN,Tennessee RFP Opportunities,Opportunity page,https://www.tn.gov/generalservices/procurement/central-procurement-office--cpo-/supplier-information/request-for-proposals--rfp--opportunities1.html,No for browsing,No/Manual,Professional-service procurements are posted here.,Not started
State,TN,Tennessee ITB Opportunities,Opportunity page,https://www.tn.gov/generalservices/procurement/central-procurement-office--cpo-/supplier-information/invitations-to-bid--itb-.html,No for browsing,No/Manual,Less likely for leadership training than RFP page but still worth monitoring.,Not started
State,NC,North Carolina eVP Solicitations,Opportunity portal,https://evp.nc.gov/solicitations/,No for search; yes for vendor features,Yes,Strong source because many agencies/local governments/schools appear here.,Not started
State,NC,NC eProcurement,Vendor/procurement portal,https://eprocurement.nc.gov/,Yes,Yes,Register for notifications and statewide procurement visibility.,Not started
State,GA,Georgia DOAS Bids and Contracts,Procurement info,https://doas.ga.gov/state-purchasing/bids-and-contracts,Yes for supplier notices,Yes,Georgia Procurement Registry posts state/local opportunities.,Not started
State,GA,Georgia Procurement Registry,Opportunity registry,https://ssl.doas.state.ga.us/PRSapp/PR_index.jsp,No for public search; yes for notifications/submission,Yes,Primary Georgia state/local bid registry.,Not started
State,CO,Colorado Vendor Self Service,Opportunity portal,https://vss.state.co.us/,No for browsing; yes for notifications,Yes,Official ColoradoVSS vendor portal for many state agencies and higher education solicitations.,Not started
State,CO,Colorado VSS Published Solicitations,Opportunity portal,https://prd.co.cgiadvantage.com/PRDVSS1X1/Advantage4,No for browsing; yes for vendor account,Yes,State of Colorado Advantage VSS application where published solicitations are listed.,Not started
